1	2	3	4	5	6	7	23	23	24	26	26	28	14	30	31	32	33	35	37	38	7	23	24	25	26	27	28	14	30	31	32	33	34	35	36	37	38	39
1	2	3	4	5	6	7	23	23	24	26	26	28	29	30	31	32	33	35	37	38	7	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
1	2	3	4	5	6	7	23	23	24	26	26	28	29	30	31	32	33	35	37	38	7	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
1	2	3	4	5	6	7	23	23	24	26	26	28	29	30	31	32	33	35	37	38	7	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
1	2	3	4	5	6	39	23	23	24	26	26	28	29	30	31	32	33	35	37	38	39	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
1	2	3	4	5	6	7	23	23	24	26	26	28	29	30	31	32	33	35	37	21	7	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	21	39
1	2	3	4	22	6	7	23	23	24	26	26	28	29	30	31	22	33	35	37	38	22	23	24	22	26	27	28	29	30	31	22	33	34	35	36	37	38	22
9	9	9	9	9	9	9	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
23	23	23	23	23	23	23	8	9	10	10	10	23	23	23	23	23	23	23	23	23	23	23	10	23	10	23	23	23	23	23	23	23	23	23	23	23	23	23
24	24	24	24	24	24	24	9	9	10	11	11	24	24	24	24	24	24	24	24	24	24	9	24	24	11	24	24	24	24	24	24	24	24	24	24	24	24	24
12	12	12	12	12	12	12	10	10	10	11	12	12	12	12	12	12	12	12	12	12	12	10	10	10	12	27	12	12	12	12	12	12	12	12	12	12	12	12
26	26	26	26	26	26	26	11	11	11	11	12	13	26	13	26	26	26	26	26	26	26	11	11	11	26	26	13	26	13	26	26	26	26	26	26	26	26	26
28	28	28	28	28	28	28	28	28	28	12	12	13	14	28	28	28	28	28	28	28	28	28	28	28	12	28	28	28	28	28	28	28	28	28	28	28	28	28
1	29	29	29	29	29	29	29	29	29	29	29	13	14	15	29	29	1	29	1	29	29	29	29	29	29	29	13	29	29	29	29	1	29	29	29	1	29	29
30	30	30	30	30	30	30	30	30	30	30	30	30	14	15	30	30	30	30	30	30	30	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30
31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	16	17	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31
32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	16	17	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32
33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	18	19	19	33	33	33	33	33	33	33	33	33	33	33	33	33	33	19	33	33	33	33
35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	18	19	20	35	35	35	35	35	35	35	35	35	35	35	35	18	35	35	35	35	35	35
37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	19	19	19	20	37	37	37	37	37	37	37	37	37	37	37	19	37	37	19	37	37	37	37
38	38	38	38	38	6	38	38	38	38	38	38	38	38	38	38	38	38	38	38	21	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38
7	7	7	7	39	7	7	7	7	7	7	7	7	7	7	7	39	7	7	39	39	22	7	7	39	7	7	7	7	7	7	39	7	7	7	7	39	39	39
1	2	3	4	5	6	7	9	9	9	9	9	28	29	30	31	32	33	35	37	38	7	23	9	25	9	27	28	29	30	31	32	33	34	35	36	37	38	39
1	2	3	4	5	6	7	10	10	10	10	10	28	29	30	31	32	33	35	37	38	7	10	24	25	10	27	28	29	30	31	32	33	34	35	36	37	38	39
1	2	3	4	5	6	39	23	23	24	24	24	28	29	30	31	32	33	35	37	38	39	23	24	25	24	27	28	29	30	31	32	33	34	35	36	37	38	39
1	2	3	4	5	6	7	12	12	12	12	12	12	29	12	31	32	33	35	37	38	7	12	12	12	26	27	12	29	12	31	32	33	34	35	36	37	38	39
1	2	3	4	5	6	7	23	23	24	11	26	28	29	30	31	32	33	35	37	38	7	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
1	2	3	4	5	6	7	23	23	24	13	13	13	13	30	31	32	33	35	37	38	7	23	24	25	13	27	28	29	30	31	32	33	34	35	36	37	38	39
14	2	3	4	5	6	7	23	23	24	26	26	28	14	14	31	32	14	35	14	38	7	23	24	25	26	27	28	29	30	31	32	14	34	35	36	14	38	39
1	2	3	4	5	6	7	23	23	24	28	28	28	29	15	31	32	33	35	37	38	7	23	24	25	28	27	28	29	30	31	32	33	34	35	36	37	38	39
1	2	3	4	5	6	7	23	23	24	26	26	28	29	30	16	32	33	35	37	38	7	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
1	2	3	4	5	6	39	23	23	24	26	26	28	29	30	31	17	33	35	35	38	39	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
1	2	3	4	5	6	7	23	23	24	26	26	28	1	30	31	32	18	18	37	38	7	23	24	25	26	27	28	1	30	31	32	33	34	35	36	37	38	39
1	2	3	4	5	6	7	23	23	24	26	26	28	29	30	31	32	33	35	37	38	7	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
1	2	3	4	5	6	7	23	23	24	26	26	28	29	30	31	32	19	19	19	38	7	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
